Epoch,Train Loss,Val Accuracy
1,0.15924955901455506,0.9865
2,0.04559714576287288,0.9883
3,0.03198513485402413,0.9901
4,0.023139328698540837,0.9918
5,0.01768446919729202,0.9914
6,0.014393613089234316,0.9901
7,0.011307551917325676,0.9901
8,0.010542164419459914,0.9893
9,0.008520540382653702,0.9911
10,0.0059098438843509645,0.9912
